source,target,type,weight
ITA-1.1.1,ITA-1.2.1,SAME_CHAPTER,0.5
ITA-1.1.1,ITA-1.2.2,SAME_CHAPTER,0.5
ITA-1.1.1,ITA-1.2.3,SAME_CHAPTER,0.5
ITA-1.1.1,ITA-1.2.4,SAME_CHAPTER,0.5
ITA-1.1.1,ITA-1.2.5,SAME_CHAPTER,0.5
ITA-1.2.1,ITA-1.2.2,SAME_CHAPTER,0.5
ITA-1.2.1,ITA-1.2.3,SAME_CHAPTER,0.5
ITA-1.2.1,ITA-1.2.4,SAME_CHAPTER,0.5
ITA-1.2.1,ITA-1.2.5,SAME_CHAPTER,0.5
ITA-1.2.1,ITA-1.3.1,SAME_CHAPTER,0.5
ITA-1.2.2,ITA-1.2.3,SAME_CHAPTER,0.5
ITA-1.2.2,ITA-1.2.4,SAME_CHAPTER,0.5
ITA-1.2.2,ITA-1.2.5,SAME_CHAPTER,0.5
ITA-1.2.2,ITA-1.3.1,SAME_CHAPTER,0.5
ITA-1.2.2,ITA-1.4.1,SAME_CHAPTER,0.5
ITA-1.2.3,ITA-1.2.4,SAME_CHAPTER,0.5
ITA-1.2.3,ITA-1.2.5,SAME_CHAPTER,0.5
ITA-1.2.3,ITA-1.3.1,SAME_CHAPTER,0.5
ITA-1.2.3,ITA-1.4.1,SAME_CHAPTER,0.5
ITA-1.2.3,ITA-1.4.2,SAME_CHAPTER,0.5
ITA-1.2.4,ITA-1.2.5,SAME_CHAPTER,0.5
ITA-1.2.4,ITA-1.3.1,SAME_CHAPTER,0.5
ITA-1.2.4,ITA-1.4.1,SAME_CHAPTER,0.5
ITA-1.2.4,ITA-1.4.2,SAME_CHAPTER,0.5
ITA-1.2.4,ITA-1.4.3,SAME_CHAPTER,0.5
ITA-1.2.5,ITA-1.3.1,SAME_CHAPTER,0.5
ITA-1.2.5,ITA-1.4.1,SAME_CHAPTER,0.5
ITA-1.2.5,ITA-1.4.2,SAME_CHAPTER,0.5
ITA-1.2.5,ITA-1.4.3,SAME_CHAPTER,0.5
ITA-1.2.5,ITA-1.4.4,SAME_CHAPTER,0.5
ITA-1.3.1,ITA-1.4.1,SAME_CHAPTER,0.5
ITA-1.3.1,ITA-1.4.2,SAME_CHAPTER,0.5
ITA-1.3.1,ITA-1.4.3,SAME_CHAPTER,0.5
ITA-1.3.1,ITA-1.4.4,SAME_CHAPTER,0.5
ITA-1.3.1,ITA-1.4.5,SAME_CHAPTER,0.5
ITA-1.4.1,ITA-1.4.2,SAME_CHAPTER,0.5
ITA-1.4.1,ITA-1.4.3,SAME_CHAPTER,0.5
ITA-1.4.1,ITA-1.4.4,SAME_CHAPTER,0.5
ITA-1.4.1,ITA-1.4.5,SAME_CHAPTER,0.5
ITA-1.4.1,ITA-1.4.6,SAME_CHAPTER,0.5
ITA-1.4.2,ITA-1.4.3,SAME_CHAPTER,0.5
ITA-1.4.2,ITA-1.4.4,SAME_CHAPTER,0.5
ITA-1.4.2,ITA-1.4.5,SAME_CHAPTER,0.5
ITA-1.4.2,ITA-1.4.6,SAME_CHAPTER,0.5
ITA-1.4.2,ITA-1.4.7,SAME_CHAPTER,0.5
ITA-1.4.3,ITA-1.4.4,SAME_CHAPTER,0.5
ITA-1.4.3,ITA-1.4.5,SAME_CHAPTER,0.5
ITA-1.4.3,ITA-1.4.6,SAME_CHAPTER,0.5
ITA-1.4.3,ITA-1.4.7,SAME_CHAPTER,0.5
ITA-1.4.3,ITA-1.4.8,SAME_CHAPTER,0.5
ITA-1.4.4,ITA-1.4.5,SAME_CHAPTER,0.5
ITA-1.4.4,ITA-1.4.6,SAME_CHAPTER,0.5
ITA-1.4.4,ITA-1.4.7,SAME_CHAPTER,0.5
ITA-1.4.4,ITA-1.4.8,SAME_CHAPTER,0.5
ITA-1.4.4,ITA-1.4.9,SAME_CHAPTER,0.5
ITA-1.4.5,ITA-1.4.6,SAME_CHAPTER,0.5
ITA-1.4.5,ITA-1.4.7,SAME_CHAPTER,0.5
ITA-1.4.5,ITA-1.4.8,SAME_CHAPTER,0.5
ITA-1.4.5,ITA-1.4.9,SAME_CHAPTER,0.5
ITA-1.4.5,ITA-1.4.10,SAME_CHAPTER,0.5
ITA-1.4.6,ITA-1.4.7,SAME_CHAPTER,0.5
ITA-1.4.6,ITA-1.4.8,SAME_CHAPTER,0.5
ITA-1.4.6,ITA-1.4.9,SAME_CHAPTER,0.5
ITA-1.4.6,ITA-1.4.10,SAME_CHAPTER,0.5
ITA-1.4.6,ITA-1.4.11,SAME_CHAPTER,0.5
ITA-1.4.7,ITA-1.4.8,SAME_CHAPTER,0.5
ITA-1.4.7,ITA-1.4.9,SAME_CHAPTER,0.5
ITA-1.4.7,ITA-1.4.10,SAME_CHAPTER,0.5
ITA-1.4.7,ITA-1.4.11,SAME_CHAPTER,0.5
ITA-1.4.7,ITA-1.5.1,SAME_CHAPTER,0.5
ITA-1.4.8,ITA-1.4.9,SAME_CHAPTER,0.5
ITA-1.4.8,ITA-1.4.10,SAME_CHAPTER,0.5
ITA-1.4.8,ITA-1.4.11,SAME_CHAPTER,0.5
ITA-1.4.8,ITA-1.5.1,SAME_CHAPTER,0.5
ITA-1.4.8,ITA-1.5.2,SAME_CHAPTER,0.5
ITA-1.4.9,ITA-1.4.10,SAME_CHAPTER,0.5
ITA-1.4.9,ITA-1.4.11,SAME_CHAPTER,0.5
ITA-1.4.9,ITA-1.5.1,SAME_CHAPTER,0.5
ITA-1.4.9,ITA-1.5.2,SAME_CHAPTER,0.5
ITA-1.4.9,ITA-1.5.3,SAME_CHAPTER,0.5
ITA-1.4.10,ITA-1.4.11,SAME_CHAPTER,0.5
ITA-1.4.10,ITA-1.5.1,SAME_CHAPTER,0.5
ITA-1.4.10,ITA-1.5.2,SAME_CHAPTER,0.5
ITA-1.4.10,ITA-1.5.3,SAME_CHAPTER,0.5
ITA-1.4.10,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.4.11,ITA-1.5.1,SAME_CHAPTER,0.5
ITA-1.4.11,ITA-1.5.2,SAME_CHAPTER,0.5
ITA-1.4.11,ITA-1.5.3,SAME_CHAPTER,0.5
ITA-1.4.11,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.4.11,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.2,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.3,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.1,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.3,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.2,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.4,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.3,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.5,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.4,ITA-1.5.9,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.6,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.7,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.8,SAME_CHAPTER,0.5
ITA-1.5.5,ITA-1.5.9,SAME_CHAPTER,0.5
