id,english,iast,devanagari,type,chapter,doshas,dhatus,clinical_significance
ITA-1.1.1,Ayurveda,Āyurvedaḥ,आयुर्वेदः,CONCEPT,1,,,low
ITA-1.2.1,"Life process, cycle or",,,CONCEPT,1,,,low
ITA-1.2.2,Salutary life,hitāyuḥ,हितायुः,CONCEPT,1,,,low
ITA-1.2.3,Unsalutary life,ahitāyuḥ,अहितायुः,CONCEPT,1,,,low
ITA-1.2.4,High quality of life,sukhāyuḥ,सुखायुः,CONCEPT,1,,,low
ITA-1.2.5,Poor quality of life,duḥkhāyuḥ,दुःखायुः,CONCEPT,1,,,low
ITA-1.3.1,Three core principles,"trisūtrāyurvedaḥ,",त्रिसूत्रायुर्वेदः,CONCEPT,1,,,low
ITA-1.4.1,Eight clinical speciali,aṣṭāṅgāyurvedaḥ,अष्टांगायुर्वेदः,CONCEPT,1,,,low
ITA-1.4.2,Treatment,cikitsā,चिकित्सा,THERAPEUTICS,1,,,medium
ITA-1.4.3,General medicine,kāyacikitsā,कायचिकित्सा,THERAPEUTICS,1,,,medium
ITA-1.4.4,Child and maternal,"bālacikitsā,",बालचिकित्सा,THERAPEUTICS,1,,,medium
ITA-1.4.5,Psychiatry,"grahacikitsā, bhūtavidyā.","ग्रहचिकित्सा, भूतविद्या",THERAPEUTICS,1,,,medium
ITA-1.4.6,Head and neck,"śālakyatantra,",शालक्यतन्त्र,CONCEPT,1,,,low
ITA-1.4.7,Surgery,śalyacikitsā,शल्यचिकित्सा,THERAPEUTICS,1,,,medium
ITA-1.4.8,Toxicology,"viṣacikitsā, garacikitsā","विषचिकित्सा, गरचिकित्सा",THERAPEUTICS,1,,,medium
ITA-1.4.9,Geriatrics,"rasāyanacikitsā,",रसायनचिकित्सा,THERAPEUTICS,1,,,high
ITA-1.4.10,Fertility treatment,"vajikaraṇacikitsa,",वजिकरनअचिकित्स,CONCEPT,1,,,low
ITA-1.4.11,Obstetrics,"prasūtītantra, strīroga","प्रसूतीतन्त्र, स्त्रीरोग",DISEASE,1,,,medium
ITA-1.5.1,Knowledge system,"śāstram, sūtram,","शास्त्रम, सूत्रम",CONCEPT,1,,,low
ITA-1.5.2,"Aphorism, summarized",sūtram,सूत्रम,CONCEPT,1,,,low
ITA-1.5.3,Branch of knowledge,śākhā,शाखा,CONCEPT,1,,,low
ITA-1.5.4,"Knowledge, discipline",vidyā,विद्या,CONCEPT,1,,,low
ITA-1.5.5,Understanding,jñānam,ज्ञानम,CONCEPT,1,,,low
ITA-1.5.6,"Treatise, structurally",tantram,तन्त्रम,CONCEPT,1,,,low
ITA-1.5.7,Mandatory injunction,vidhiḥ,विधिः,CONCEPT,1,,,low
ITA-1.5.8,Applied knowledge,vijñānam,विज्ञानम,CONCEPT,1,,,low
ITA-1.5.9,Qualities of technical,śāstraguṇāḥ,शास्त्रगुणाः,CONCEPT,1,,,low
ITA-1.6.1,Devices for,tantrayuktiḥ,तन्त्रयुक्तिः,CONCEPT,1,,,low
ITA-1.6.2,Extending the scope,atideśaḥ,अतिदेशः,CONCEPT,1,,,low
ITA-1.6.3,Retrospective cross,atītāvekṣaṇam,अतीतावेक्षणम,CONCEPT,1,,,low
ITA-1.6.4,Topic or subject of,adhikaraṇam,अधिकरणम,CONCEPT,1,,,low
ITA-1.6.5,Prospective cross,anāgatavekṣaṇam,अनागतवेक्षणम,CONCEPT,1,,,low
ITA-1.6.6,Acceptance by not,anumataḥ,अनुमतः,CONCEPT,1,,,low
ITA-1.6.7,Acceptance of multiple,anekāntaḥ,अनेकान्तः,CONCEPT,1,,,low
ITA-1.6.8,Supporting a proposed,apadeśaḥ,अपदेशः,CONCEPT,1,,,low
ITA-1.6.9,Statement of,apavargaḥ,अपवर्गः,CONCEPT,1,,,low
ITA-1.6.10,Implied or inferred,arthāpattiḥ,अर्थापत्तिः,CONCEPT,1,,,low
ITA-1.6.11,Concise statement,uddeśaḥ,उद्देशः,CONCEPT,1,,,low
ITA-1.6.12,Consolidating an,uddhāraḥ,उद्धारः,CONCEPT,1,,,low
ITA-1.6.13,Authoritative,upadeśaḥ,उपदेशः,CONCEPT,1,,,low
ITA-1.6.14,Extrapolation,ūhyam,ऊह्यम,CONCEPT,1,,,low
ITA-1.6.15,Definite conclusion,ekāntaḥ,एकान्तः,CONCEPT,1,,,low
ITA-1.6.16,Illustrative statement,nidarśanam,निदर्शनम,CONCEPT,1,,,low
ITA-1.6.17,Execution of,niyogaḥ/ sanniyogaḥ,नियोगः/ सन्नियोगः,FORMULATION,1,,,medium
ITA-1.6.18,Decision based on,nirṇayaḥ,निर्णयः,CONCEPT,1,,,low
ITA-1.6.19,Detailed description,nirdeśaḥ,निर्देशः,CONCEPT,1,,,low
ITA-1.6.20,Technical definition,nirvacanam,निर्वचनम,CONCEPT,1,,,low
ITA-1.6.21,Objecting or opposing,pūrvapakṣaḥ,पूर्वपक्षः,CONCEPT,1,,,low
ITA-1.6.22,Negating or refuting an,pratyutsāraḥ,प्रत्युत्सारः,CONCEPT,1,,,low
ITA-1.6.23,Partial description,pradeśaḥ,प्रदेशः,CONCEPT,1,,,low
ITA-1.6.24,"Aim, objective",Prayojanam,प्रयोजनम,CONCEPT,1,,,low
ITA-1.6.25,Contextual repetition,prasaṅgaḥ,प्रसंगः,CONCEPT,1,,rasa,low
ITA-1.6.26,"Union, compounding",yogaḥ,योगः,FORMULATION,1,,,medium
ITA-1.6.27,Supply of ellipsis,vākyaśeṣaḥ,वाक्यशेषः,CONCEPT,1,,,low
